Name,GSM984510,GSM984511,GSM984512,GSM984513,GSM984514,GSM984515,GSM984516,GSM984517
MYO19,-0.192,0.028,-0.006,0.015,0.086,0.145,0.183,0.133
HOXB3,-0.32,0.518,-0.291,0.0,-0.313,-0.726,0.52,-0.092
SUZ12,-0.19,-0.163,-0.007,0.057,-0.2,-0.207,-0.211,-0.259
A_23_P10091,-0.496,0.0,-0.339,-0.558,0.0,0.013,0.0,0.0
GIT1,-0.326,-0.439,-0.452,-0.236,-0.066,-0.563,-0.092,-0.118
AIPL1,0.0,0.0,0.0,0.29,0.0,0.0,-0.065,0.0
ZFP3,0.73,0.762,0.509,0.512,-0.62,0.0,-0.975,-0.419
SPNS3,-0.073,0.033,0.233,0.166,0.604,-0.068,0.178,0.15
KRT38,0.331,0.394,0.93,0.127,0.792,0.817,0.757,0.73
KRT38,0.588,0.0,0.0,0.0,0.0,-0.306,0.596,0.0
NOTUM,-0.219,-0.119,-0.28,-0.016,0.085,-0.127,0.219,0.265
TMC6,0.261,0.019,-0.005,0.123,-0.178,-0.363,-0.091,-0.123
LGALS9C,-0.27,-0.246,-0.147,-0.043,-0.136,-0.326,-0.18,0.055
KRTAP3-2,0.074,0.849,0.305,0.174,-0.247,0.0,1.001,0.62
KRT34,0.0,0.0,-0.072,-0.406,0.0,-0.182,0.0,0.014
OR1E1,0.677,0.179,-0.573,0.015,0.428,0.081,-0.511,0.273
SPATA22,0.106,-0.104,-0.086,0.139,0.007,0.102,0.025,0.253
COPZ2,0.096,-0.088,-0.004,0.11,0.038,-0.062,0.04,0.08
CTDP1,0.253,-0.033,-0.126,0.168,-0.07,-0.27,0.088,-0.065
A_23_P101121,-0.256,0.083,0.011,0.099,0.099,0.165,0.05,0.112
GRP,0.0,0.115,0.0,-0.227,0.0,0.0,0.0,0.0
RNF125,-0.831,-0.643,-0.729,-0.692,-0.925,0.063,-0.212,-1.189
NARS,0.246,-0.025,0.01,-0.269,-0.095,0.205,0.04,-0.045
MYO5B,-0.058,0.15,0.15,0.0,0.234,0.404,0.207,0.318
CYB5A,-0.529,0.028,-0.035,-0.047,0.156,0.244,0.169,0.049
SFRP1,0.252,0.055,-0.109,0.045,0.178,0.188,0.604,0.0
C18ORF21,-0.085,0.161,0.062,0.036,-0.658,-0.536,-0.708,-0.504
VSIG10L,-0.093,0.019,0.132,0.145,0.379,0.218,0.298,0.308
VSIG10L,-0.341,-0.096,0.031,-0.1,-0.028,-0.087,-0.173,0.032
ZNF614,1.318,1.204,1.117,0.973,1.825,2.18,1.792,2.078
ZNF614,1.119,1.086,0.827,0.769,1.681,1.872,1.763,1.779
SFRP1,-0.083,0.14,0.097,0.128,0.399,0.235,0.324,0.459
ZNF446,-0.314,-0.194,-0.151,-0.347,-0.708,-0.567,-0.603,-0.589
ZNF587,0.291,0.177,0.179,0.101,-0.146,-0.266,-0.497,-0.643
EML2,-0.092,0.386,0.416,0.417,-0.284,-0.322,-0.288,-0.168
PPP1R37,-0.19,-0.137,-0.019,-0.03,-0.314,-0.345,-0.253,-0.267
PPP1R37,-0.358,-0.218,0.045,-0.039,-0.515,-0.544,-0.462,-0.463
ZNF285,1.315,0.899,0.92,0.845,-0.412,-0.25,0.226,-0.118
ARHGEF1,0.205,-0.117,-0.158,-0.154,-0.289,-0.345,-0.154,-0.229
KRI1,0.027,-0.077,-0.243,-0.015,-0.732,-0.724,-0.67,-0.668
ATG4D,0.14,0.068,0.055,0.235,-0.188,-0.224,0.006,-0.185
NKIRAS2,0.203,-0.193,-0.212,-0.049,-0.151,-0.342,-0.118,-0.204
ZNF426,0.758,0.358,0.323,-0.087,0.086,0.613,0.416,0.234
CYP2S1,0.027,0.0,-0.057,-0.213,-0.498,-0.24,-0.351,0.0
B3GNT8,-0.441,-0.342,-0.6,-0.121,-1.501,-1.611,-1.489,-1.399
TMEM38A,0.208,-0.164,0.017,0.058,0.119,0.179,0.52,0.509
LINC00467,-0.611,-0.143,-0.329,-0.079,-0.498,-0.447,-0.761,-0.618
C3,-0.038,0.328,0.234,-0.157,0.867,-0.455,-0.333,-0.292
EVI5L,0.2,0.089,0.066,0.006,-0.049,-0.11,-0.046,-0.215
NLRP12,-0.486,-0.523,-0.165,-0.6,-0.451,-0.379,-0.541,-0.507
CCDC130,-0.33,-0.282,-0.347,-0.11,-0.235,-0.377,-0.222,-0.327
ZNF442,0.511,0.304,0.174,-0.146,-0.133,0.536,0.052,-0.239
MAST1,-0.267,-0.068,-0.293,0.279,-0.127,-0.046,0.114,0.074
KLK11,0.0,-0.203,0.0,0.0,0.0,0.659,0.0,0.0
KCNC3,0.261,0.133,-0.209,0.0,0.044,-0.454,-0.015,-0.233
IZUMO2,-0.216,0.985,0.127,0.766,0.0,0.0,0.0,0.0
RPS11,0.228,0.179,0.367,0.274,0.224,0.19,0.294,0.222
BCAT2,0.553,0.23,0.228,0.04,-0.027,0.231,0.372,0.155
CHMP6,-0.136,-0.431,-0.421,-0.262,-0.831,-0.89,-0.764,-0.824
FGF21,0.0,0.0,0.0,0.0,0.0,0.677,0.0,0.0
SPACA4,-0.195,0.0,0.217,-0.457,0.0,0.0,0.763,-0.201
ZNF565,0.481,0.508,0.416,0.318,0.496,0.801,0.626,0.549
ZNF667,0.265,0.109,-0.411,0.0,-1.098,-0.772,-0.996,-1.154
KIR3DL2,-0.086,-0.81,-0.64,0.443,0.044,0.918,0.0,-0.011
PTPRH,-0.502,-0.609,-0.457,-0.678,-0.286,-0.074,-0.279,-0.287
ACTN4,0.092,-0.166,-0.103,-0.251,-0.09,-0.013,0.143,-0.02
ATCAY,0.0,0.0,0.0,0.0,0.0,0.0,-0.254,0.0
CLC,0.0,0.057,0.0,0.586,0.0,0.0,0.0,0.537
HDGFRP2,-0.105,-0.39,-0.177,-0.188,-0.374,-0.654,-0.351,-0.372
PLIN3,0.326,-0.132,-0.166,0.021,-0.347,-0.427,-0.223,-0.33
PRSS50,-0.683,-0.042,-0.527,0.0,0.0,0.086,0.288,1.031
DOT1L,-0.215,-0.087,-0.135,-0.155,0.54,0.444,0.41,0.642
MRPL54,-0.17,-0.305,-0.056,-0.312,-0.244,-0.048,-0.331,-0.263
FUT5,0.01,0.096,0.181,0.311,-0.229,0.0,0.321,0.172
KISS1R,-0.337,-0.037,0.033,0.017,0.377,-0.214,0.17,0.262
SLC5A5,-0.353,0.21,0.23,0.264,0.439,0.308,0.164,0.584
IL12RB1,0.134,0.016,0.0,0.277,0.73,0.34,0.113,0.675
SYDE1,0.172,-0.256,-0.243,-0.249,-1.052,-1.045,-1.095,-0.879
HPN,0.306,0.602,0.515,0.788,0.35,0.159,-0.07,0.749
ZNF14,-0.039,0.277,0.044,-0.026,-0.509,-0.31,-0.36,-0.322
ACOX2,-0.301,0.133,0.081,-0.079,0.365,0.345,0.045,0.285
LPAR2,0.195,0.0,0.106,0.165,0.106,0.055,0.137,-0.061
FBXO17,0.407,0.02,0.065,-0.11,0.054,0.201,0.236,-0.042
FBN3,-0.241,-0.161,0.388,0.287,0.403,0.033,0.496,0.583
APC2,-0.361,-0.629,-0.711,-0.213,-0.668,-0.713,-1.15,-1.063
APC2,-0.088,0.023,0.007,-0.074,-0.561,-0.257,-0.594,-0.263
SEZ6L2,0.044,0.025,0.155,0.048,0.393,0.246,0.335,0.326
ARL5A,0.218,0.265,0.137,0.109,-0.174,0.019,-0.14,-0.089
MDH1,0.007,0.047,0.155,0.116,-0.321,-0.357,-0.303,-0.417
ZFP36L2,-0.434,-0.282,-0.272,0.101,-0.568,-0.728,-0.021,-0.508
CAPN13,0.181,-0.117,0.06,-0.097,-0.246,0.037,0.345,0.179
MARCO,0.544,0.435,0.885,0.0,-0.663,-0.186,-0.531,0.425
CXCR4,-1.92,-1.77,-1.53,-1.51,-1.74,-1.87,-1.79,-1.7
ERMN,-0.017,0.0,0.0,0.394,0.0,-0.562,0.0,0.0
COQ10B,0.081,0.174,0.232,0.382,1.25,0.949,0.913,1.172
MATN3,1.149,0.789,0.553,0.357,0.777,1.293,0.83,0.856
HAS2,-0.088,0.0,0.133,0.532,0.77,0.0,0.209,-0.012
SSFA2,-0.184,-0.422,-0.565,-0.55,-0.413,-0.41,-0.476,-0.557
A_23_P102071,-0.122,-0.061,0.01,0.128,-0.238,-0.155,-0.152,-0.22
TUBA4A,-0.051,-0.347,-0.105,-0.199,-0.886,-0.843,-0.696,-0.783
SLC2A13,0.275,0.008,0.0,0.282,-0.137,0.101,0.156,0.019
WNT10A,-0.722,-0.633,-0.332,-0.058,0.603,-0.088,0.145,0.449
WNT10A,-0.298,-0.425,0.0,-0.837,-0.456,-0.041,-0.097,-0.384
ARPC2,0.053,-0.078,0.03,0.05,0.115,0.204,0.087,0.023
FAM82A1,-0.807,-0.348,-0.356,-0.271,-0.518,-0.5,-0.594,-0.556
CPO,0.0,0.229,-0.188,-0.771,0.648,0.508,0.0,0.0
A_23_P102183,0.111,0.09,0.024,0.029,-0.238,-0.156,-0.288,-0.248
MAP4K4,0.337,-0.309,-0.125,-0.086,0.265,0.08,0.423,0.373
MSH6,-0.442,-0.115,-0.047,-0.085,-0.573,-0.66,-0.699,-0.69
SNRPG,0.0,0.269,0.126,-0.05,-0.086,0.095,-0.039,-0.124
MARCH7,0.666,0.421,0.285,0.438,1.268,1.296,1.311,1.35
MRPL53,-0.355,-0.23,-0.209,-0.298,-0.404,-0.206,-0.366,-0.513
MRPL19,-0.407,-0.391,-0.275,-0.32,-0.839,-0.767,-0.623,-0.652
DPP10,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0
LHCGR,0.0,0.0,0.825,-0.136,0.0,0.0,0.0,0.594
BANK1,-0.078,0.159,-0.048,-0.236,0.149,0.695,-0.149,0.3
NUP35,-0.092,0.26,0.149,0.286,-0.23,-0.412,-0.365,-0.207
SCN7A,0.0,0.0,0.0,0.0,-0.11,0.0,0.0,0.207
CHST10,-0.092,-0.358,-0.758,-0.072,-1.015,-1.169,-0.922,-1.038
NGEF,-0.14,0.207,0.026,0.175,-0.421,-0.333,-0.402,-0.341
SLC40A1,0.408,0.589,0.366,0.27,-0.905,-0.727,-1.023,-1.032
CCT7,0.328,0.068,0.076,0.039,-0.079,0.01,-0.151,-0.103
PLEKHA3,0.129,0.292,0.35,0.332,0.498,0.473,0.5,0.666
CCT4,0.104,0.196,0.133,0.209,0.062,0.075,-0.057,0.046
ASTL,0.046,-0.216,0.41,-0.226,0.199,-0.182,-0.013,0.192
INSIG2,-0.854,-0.629,-0.531,-0.594,-1.537,-1.477,-1.487,-1.346
FBLN7,0.276,0.227,0.0,0.403,0.449,-0.326,0.09,0.0
MSH2,-0.32,-0.16,-0.08,-0.17,-0.79,-0.79,-0.89,-0.72
CTLA4,0.199,-0.351,0.0,0.0,0.0,0.0,0.0,0.0
C2ORF18,0.159,-0.201,-0.057,0.142,-0.488,-0.388,-0.325,-0.282
SLC5A6,0.111,-0.338,-0.227,-0.274,-0.553,-0.631,-0.322,-0.323
PDE6D,0.39,0.358,0.25,0.35,0.372,0.364,0.317,0.347
SPTBN1,0.495,0.088,-0.119,-0.009,0.417,-0.042,0.18,0.322
AFTPH,-0.593,-0.18,-0.4,-0.333,-0.198,-0.192,-0.094,0.098
MALL,-1.005,-0.981,-1.036,-0.705,-1.801,-1.83,-1.64,-1.55
SLC2A4RG,0.032,-0.025,-0.048,0.001,-0.131,-0.3,-0.295,-0.262
SLC2A4RG,0.468,0.184,0.152,0.109,-0.076,-0.037,-0.037,-0.062
C20ORF24,-0.076,-0.111,-0.153,-0.042,-0.184,-0.084,-0.282,-0.123
CHD6,0.359,0.231,0.05,-0.345,-0.285,-0.218,-0.487,-0.6
WISP2,0.909,1.315,0.865,0.904,-0.018,-0.95,0.5,0.165
MATN4,-0.263,-0.216,-0.258,-0.236,0.072,0.146,0.0,0.078
MGC4294,0.993,0.65,0.662,0.661,-0.59,-0.26,-0.236,-0.182
DEFB129,0.62,0.579,0.414,0.168,1.274,0.719,0.67,0.673
SNPH,-0.263,-0.364,-0.563,-0.519,-1.976,-1.705,-1.804,-1.83
SMOX,0.329,0.51,0.294,0.254,0.906,0.712,0.805,0.937
TRMT6,-0.129,-0.202,-0.209,-0.128,-0.605,-0.785,-0.792,-0.804
BTBD3,0.532,0.385,0.221,0.142,0.228,0.405,0.09,0.168
C20ORF72,-0.476,-0.068,-0.2,-0.172,-0.228,0.012,-0.174,-0.106
NAA20,-0.054,0.181,0.055,0.112,-0.046,-0.048,-0.117,-0.073
A_23_P102816,0.042,-0.15,0.005,0.097,0.379,0.104,0.426,0.079
CEP250,0.312,0.353,0.274,0.189,-0.208,-0.164,-0.1,-0.143
NFS1,0.318,0.399,0.372,0.313,-0.064,0.107,-0.114,-0.096
TMPRSS15,0.301,0.0,0.053,0.066,0.0,0.0,0.226,0.705
CCT8,0.16,-0.007,0.065,0.0,-0.053,0.056,0.014,-0.104
SYNJ1,0.46,0.395,0.161,0.069,0.048,0.318,-0.019,0.23
MRPS6,0.085,0.1,0.207,0.462,0.185,0.028,0.165,0.144
MFAP2,-0.004,-0.278,-0.277,-0.094,0.008,-0.107,-0.174,-0.06
CTSE,-0.425,0.0,-0.147,0.051,0.572,0.339,0.071,0.373
B3GALT5,0.0,-0.082,0.0,-0.347,0.0,0.0,0.0,0.0
B3GALT5,0.0,0.529,0.065,0.0,-0.832,0.352,-0.174,-0.111
PWP2,0.225,-0.104,-0.148,-0.102,-0.944,-0.732,-0.752,-0.73
SUMO3,0.348,0.458,0.355,-0.024,-0.24,0.117,-0.23,-0.188
RSPH1,-0.07,0.359,0.236,0.127,0.239,0.54,0.085,0.399
BCL2L13,0.457,-0.031,-0.088,-0.011,-0.406,-0.434,-0.229,-0.336
DGCR14,0.129,0.026,-0.061,-0.121,-0.441,-0.501,-0.295,-0.238
TXNRD2,-0.016,-0.458,-0.021,-0.083,-0.381,-0.547,-0.291,-0.149
PI4KA,0.434,0.038,-0.228,-0.089,-0.102,-0.156,0.013,-0.087
RAB36,-0.582,-0.324,-0.345,-0.329,-1.303,-1.183,-1.366,-1.168
CRYBA4,0.0,0.0,0.0,0.0,0.0,0.881,0.0,0.94
GAS2L1,0.047,0.018,0.032,0.172,-0.514,-0.841,-0.879,-0.354
CTPS2,0.147,-0.002,-0.05,0.092,-0.047,-0.294,-0.173,-0.031
RNF185,0.276,-0.407,-0.439,-0.318,-0.609,-0.57,-0.348,-0.438
YWHAH,0.374,0.042,-0.003,0.15,-0.157,-0.234,-0.163,-0.068
TOM1,0.047,-0.589,-0.597,-0.547,-1.05,-1.159,-0.708,-1.086
RBFOX2,0.009,-0.208,-0.083,-0.077,-0.12,-0.01,-0.021,-0.129
MFNG,-0.083,-0.198,-0.222,-0.023,-0.431,-0.633,-0.426,-0.421
MAFF,0.489,0.291,0.108,0.355,0.787,0.575,0.737,0.856
GTPBP1,-0.022,0.396,0.381,0.573,0.86,0.662,0.78,0.749
SMCR7L,-0.561,-0.114,-0.175,-0.063,-0.809,-0.884,-0.882,-0.781
ACO2,-0.022,-0.247,-0.147,-0.052,-0.137,-0.237,-0.014,-0.066
TYW3,-0.077,0.371,0.266,0.353,-0.117,-0.102,-0.194,-0.066
TYW3,0.23,0.464,0.372,0.418,-0.061,0.056,-0.118,0.018
PNRC2,0.435,0.486,0.415,0.617,0.792,0.681,0.675,0.701
FAAH,0.0,0.059,-0.14,0.096,-0.269,0.532,0.83,0.991
DUSP23,-0.213,-0.305,-0.273,-0.151,-0.637,-0.716,-0.631,-0.547
PIGM,-1.118,-1.027,-1.245,-1.051,-3.434,-3.098,-3.187,-3.214
CFHR3,0.01,0.122,0.291,0.235,0.492,0.601,0.387,0.466
A_23_P103269,0.629,0.0,-0.109,-0.264,0.0,0.0,0.0,-0.14
KTI12,0.068,0.055,-0.022,0.179,-0.125,-0.024,0.142,0.125
TMEM59,0.027,-0.115,-0.088,-0.089,-0.003,0.052,-0.035,-0.004
S100A7,0.693,0.373,0.49,0.426,0.087,0.222,-0.424,-0.022
LCE1A,-0.518,-0.172,-0.171,-0.026,0.056,-0.056,0.142,0.165
PTGER3,0.0,0.0,0.507,-0.076,0.0,0.0,0.0,1.221
RC3H1,0.013,0.034,-0.008,0.054,0.992,1.146,1.155,1.046
OCLM,0.0,0.02,0.0,-0.104,-0.789,0.122,0.0,-0.226
LCK,0.11,0.11,0.22,0.23,0.64,0.29,0.62,0.33
ADC,0.093,0.049,0.323,0.137,-0.272,-0.572,-0.04,-0.549
PSEN2,-1.241,-0.987,-0.928,-0.741,-0.247,-0.454,-0.316,-0.309
A_23_P103405,-0.387,0.129,-0.257,0.043,-0.261,0.081,-0.142,-0.154
YTHDF2,0.016,-0.136,-0.331,-0.382,-0.418,-0.362,-0.359,-0.422
RGS8,0.003,-0.241,0.328,0.0,-0.102,0.076,0.0,0.035
OSCP1,-0.309,-0.086,0.008,-0.082,-0.713,-0.565,-0.833,-0.765
MEAF6,-0.353,-0.183,-0.278,-0.059,-0.18,-0.335,-0.272,-0.192
NBPF3,0.264,-0.255,-0.394,-0.494,-0.592,-0.505,-0.423,-0.651
PLA2G5,0.526,0.398,0.254,0.505,0.512,0.844,0.634,0.819
UBIAD1,-0.561,-0.277,-0.399,-0.21,0.231,-0.041,0.216,0.279
CYP2J2,-0.228,-0.321,-0.197,-0.637,-0.622,-0.206,-0.633,-0.592
GBP4,0.669,1.384,1.13,0.839,1.835,1.93,2.079,1.382
MDM4,-0.089,0.387,-0.032,0.192,0.487,-0.148,-0.286,-0.147
C1ORF226,-0.287,0.091,0.235,0.354,0.145,-0.078,0.073,0.01
SELL,0.0,0.0,-0.668,-0.148,0.0,0.0,0.617,0.305
GPR161,-0.217,-0.16,-0.182,-0.104,-0.306,-0.342,-0.358,-0.373
NAV1,-0.015,0.048,0.149,0.178,-0.285,-0.19,-0.16,-0.158
MAN1A2,-0.487,-0.164,-0.349,-0.317,-0.261,-0.228,-0.592,-0.455
HMGCS2,-0.205,0.054,0.0,-0.344,0.0,0.92,0.0,1.323
MAN1C1,-0.752,-0.323,0.11,-0.107,0.596,0.28,0.528,0.281
ANXA9,0.0,0.0,0.0,0.291,0.0,-0.24,-0.076,0.0
HEATR1,0.407,0.158,0.089,-0.211,-0.022,0.18,0.227,0.063
EBNA1BP2,0.01,0.136,0.045,0.158,-0.381,-0.363,-0.295,-0.372
YY1AP1,0.186,0.15,0.083,-0.199,0.557,1.034,0.544,0.463
NES,0.003,-0.429,-0.367,-0.257,-0.574,-0.617,-0.518,-0.495
FAM189B,0.162,0.114,0.038,-0.111,-0.113,0.077,0.145,-0.157
LAMTOR2,-0.228,-0.083,-0.083,-0.175,-0.268,-0.194,-0.266,-0.398
HSPB7,0.0,0.548,0.0,0.0,0.0,0.607,0.0,-0.263
AGMAT,-0.116,0.054,0.05,0.172,-0.262,-0.054,-0.224,-0.041
R3HDM2,0.286,0.164,0.258,0.239,0.286,0.208,0.46,0.346
A_23_P103743,-0.572,-0.179,-0.17,-0.391,-0.305,0.304,-0.096,-0.205
OVGP1,0.271,0.306,0.056,0.097,0.575,0.627,0.436,0.278
FCER1A,0.441,0.174,0.622,0.11,1.394,0.039,-0.161,0.291
LRRC8C,-0.243,-0.525,-0.625,-0.821,0.709,0.792,0.671,0.66
HIPK1,0.184,0.076,0.208,0.325,0.849,1.197,1.254,0.983
VANGL1,0.705,0.61,0.355,0.225,-0.88,-0.427,-0.535,-0.723
KDM5B,0.442,0.162,0.111,0.29,-0.071,-0.079,0.071,0.112
FCRL3,0.0,0.0,0.497,0.0,0.0,-0.177,0.086,-0.119
FAM5C,0.969,-0.038,0.44,1.133,1.035,0.893,0.785,1.034
PI4KB,-0.681,-0.502,-0.462,-0.669,-0.426,-0.3,-0.37,-0.361
UBAP2L,0.303,-0.083,-0.088,0.031,-0.004,-0.14,0.028,0.158
DTL,0.11,-0.14,0.03,-0.15,-0.76,-0.47,-0.5,-0.54
TTC13,-0.524,-0.317,-0.234,-0.722,-0.1,0.261,-0.148,0.093
LRRC38,-0.764,-0.399,0.069,-0.265,0.49,0.218,0.123,0.341
AURKAIP1,0.012,-0.128,-0.183,-0.132,-0.366,-0.317,-0.466,-0.397
A_23_P103897,0.012,0.176,0.218,0.204,0.448,0.293,-0.051,0.139
UFC1,-0.168,-0.167,-0.074,-0.039,-0.116,-0.094,-0.263,-0.187
COL5A2,0.694,0.309,0.382,0.037,0.611,0.651,0.848,0.704
B4GALT3,0.548,0.225,0.048,-0.068,-0.082,-0.072,0.09,0.063
FAM20B,0.278,0.117,0.078,0.152,0.302,0.309,0.147,0.111
FGR,-0.533,0.39,0.198,0.125,0.218,0.571,0.31,0.641
DNAJC11,-0.183,-0.291,-0.362,-0.195,-0.644,-0.865,-0.819,-0.563
A_23_P103951,0.241,0.065,0.131,-0.078,1.032,1.001,0.992,0.899
AKR7A3,0.192,-0.249,-0.069,-0.084,-0.2,-0.266,-0.185,-0.038
CYP4Z1,0.0,0.0,0.0,-0.105,-0.018,0.0,0.0,-0.517
HIST2H2AA4,-0.108,-0.024,0.058,-0.02,0.42,0.322,0.5,0.47
GCLM,0.88,0.654,0.642,0.483,1.011,1.381,1.186,0.973
PPP2R3A,-0.244,0.12,0.204,-0.072,0.91,0.823,0.719,0.782
A_23_P104012,-0.034,-0.095,-0.166,0.166,-0.052,0.101,-0.167,-0.171
TSEN15,-0.251,0.078,0.077,0.039,-0.165,-0.08,-0.399,-0.188
TSEN15,0.149,0.154,0.166,0.149,0.054,-0.013,-0.138,-0.024
BPNT1,-0.551,-0.27,-0.292,-0.476,-0.859,-0.56,-0.963,-0.781
C1ORF9,-0.079,0.125,0.126,0.058,0.319,0.194,0.166,0.254
ICMT,0.012,-0.398,-0.42,-0.616,-1.013,-0.913,-0.807,-0.895
S100A3,0.031,-0.107,-0.087,-0.028,0.585,0.82,0.706,0.537
CROCC,-0.159,-0.084,-0.04,-0.072,-0.325,-0.282,-0.145,0.052
SYT2,0.304,-0.25,0.179,0.016,-0.019,0.054,-0.028,0.038
RPS6KC1,0.855,0.39,0.221,0.399,0.795,0.909,1.212,0.874
RBM8A,-0.321,-0.169,-0.14,0.024,-0.377,-0.419,-0.408,-0.337
