Name,GSM984510,GSM984511,GSM984512,GSM984513,GSM984514,GSM984515,GSM984516,GSM984517
ABCC6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EXOC7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PSMB3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TBCD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MGAT4C,0.089,-0.518,-0.342,,0.066,0.341,-0.591,
HN1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PNMT,-0.182,0.453,-0.197,-0.255,,0.057,-0.355,0.039
ZBTB4,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
SERPINF1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
SMG6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HELZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAPK7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PMP22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SKAP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SMURF2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLC25A39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PNPLA2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UBTF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
STAT5B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
STAT3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCDC56,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
ARL13B,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0
MYO19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HOXB3,-0.32,0.518,-0.291,,-0.313,-0.726,0.52,-0.092
SUZ12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GIT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AIPL1,,,,0.29,,,-0.065,
ZFP3,0.73,0.762,0.509,0.512,-0.62,,-0.975,-0.419
SPNS3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRT38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRT38,0.588,,,,,-0.306,0.596,
NOTUM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMC6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LGALS9C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRTAP3-2,0.074,0.849,0.305,0.174,-0.247,,1.001,0.62
KRT34,,,-0.072,-0.406,,-0.182,,0.014
OR1E1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
SPATA22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COPZ2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CTDP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GRP,,0.115,,-0.227,,,,
RNF125,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
NARS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MYO5B,-0.058,0.15,0.15,,0.234,0.404,0.207,0.318
CYB5A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SFRP1,0.252,0.055,-0.109,0.045,0.178,0.188,0.604,
C18ORF21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSIG10L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VSIG10L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF614,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ZNF614,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
SFRP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EML2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PPP1R37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PPP1R37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF285,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARHGEF1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRI1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATG4D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NKIRAS2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CYP2S1,0.027,,-0.057,-0.213,-0.498,-0.24,-0.351,
B3GNT8,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
TMEM38A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LINC00467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
EVI5L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NLRP12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCDC130,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAST1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KLK11,,-0.203,,,,0.659,,
KCNC3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IZUMO2,-0.216,0.985,0.127,0.766,,,,
RPS11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BCAT2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHMP6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FGF21,,,,,,0.677,,
SPACA4,-0.195,,0.217,-0.457,,,0.763,-0.201
ZNF565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF667,0.265,0.109,-0.411,,-1.098,-0.772,-0.996,-1.154
KIR3DL2,-0.086,-0.81,-0.64,0.443,0.044,0.918,,-0.011
PTPRH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACTN4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATCAY,,,,,,,-0.254,
CLC,,0.057,,0.586,,,,0.537
HDGFRP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PLIN3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRSS50,-0.683,-0.042,-0.527,,,0.086,0.288,1.031
DOT1L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MRPL54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FUT5,0.01,0.096,0.181,0.311,-0.229,,0.321,0.172
KISS1R,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLC5A5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
IL12RB1,0.134,0.016,,0.277,0.73,0.34,0.113,0.675
SYDE1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
HPN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACOX2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LPAR2,0.195,,0.106,0.165,0.106,0.055,0.137,-0.061
FBXO17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FBN3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
APC2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
APC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SEZ6L2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARL5A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MDH1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZFP36L2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CAPN13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MARCO,0.544,0.435,0.885,,-0.663,-0.186,-0.531,0.425
CXCR4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ERMN,-0.017,,,0.394,,-0.562,,
COQ10B,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
MATN3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HAS2,-0.088,,0.133,0.532,0.77,,0.209,-0.012
SSFA2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TUBA4A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLC2A13,0.275,0.008,,0.282,-0.137,0.101,0.156,0.019
WNT10A,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
WNT10A,-0.298,-0.425,,-0.837,-0.456,-0.041,-0.097,-0.384
ARPC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM82A1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPO,,0.229,-0.188,-0.771,0.648,0.508,,
MAP4K4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MSH6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SNRPG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MARCH7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MRPL53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MRPL19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DPP10,,,,-0.15,,,,
LHCGR,,,0.825,-0.136,,,,0.594
BANK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NUP35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SCN7A,,,,,-0.11,,,0.207
CHST10,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
NGEF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLC40A1,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
CCT7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PLEKHA3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCT4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ASTL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INSIG2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
FBLN7,0.276,0.227,,0.403,0.449,-0.326,0.09,
MSH2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CTLA4,0.199,-0.351,,,,,,
C2ORF18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLC5A6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PDE6D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SPTBN1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AFTPH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MALL,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
SLC2A4RG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLC2A4RG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C20ORF24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHD6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WISP2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
MATN4,-0.263,-0.216,-0.258,-0.236,0.072,0.146,,0.078
MGC4294,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DEFB129,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
SNPH,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SMOX,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TRMT6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BTBD3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C20ORF72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NAA20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CEP250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NFS1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMPRSS15,0.301,,0.053,0.066,,,0.226,0.705
CCT8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SYNJ1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MRPS6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MFAP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CTSE,-0.425,,-0.147,0.051,0.572,0.339,0.071,0.373
B3GALT5,,-0.082,,-0.347,,,,
B3GALT5,,0.529,0.065,,-0.832,0.352,-0.174,-0.111
PWP2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SUMO3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSPH1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BCL2L13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DGCR14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TXNRD2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PI4KA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RAB36,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
CRYBA4,,,,,,0.881,,0.94
GAS2L1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CTPS2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RNF185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YWHAH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TOM1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RBFOX2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MFNG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAFF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GTPBP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SMCR7L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACO2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TYW3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TYW3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PNRC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAAH,,0.059,-0.14,0.096,-0.269,0.532,0.83,0.991
DUSP23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PIGM,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CFHR3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KTI12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S100A7,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LCE1A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PTGER3,,,0.507,-0.076,,,,1.221
RC3H1,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0
OCLM,,0.02,,-0.104,-0.789,0.122,,-0.226
LCK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ADC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PSEN2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YTHDF2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RGS8,0.003,-0.241,0.328,,-0.102,0.076,,0.035
OSCP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MEAF6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NBPF3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PLA2G5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UBIAD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CYP2J2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GBP4,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
MDM4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1ORF226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SELL,,,-0.668,-0.148,,,0.617,0.305
GPR161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NAV1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAN1A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HMGCS2,-0.205,0.054,,-0.344,,0.92,,1.323
MAN1C1,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
ANXA9,,,,0.291,,-0.24,-0.076,
HEATR1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EBNA1BP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YY1AP1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
NES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM189B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LAMTOR2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HSPB7,,0.548,,,,0.607,,-0.263
AGMAT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R3HDM2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OVGP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FCER1A,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
LRRC8C,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
HIPK1,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0
VANGL1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
KDM5B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FCRL3,,,0.497,,,-0.177,0.086,-0.119
FAM5C,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0
PI4KB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UBAP2L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DTL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TTC13,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
LRRC38,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
AURKAIP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UFC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COL5A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B4GALT3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM20B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FGR,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
DNAJC11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AKR7A3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CYP4Z1,,,,-0.105,-0.018,,,-0.517
HIST2H2AA4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GCLM,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
PPP2R3A,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
TSEN15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TSEN15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BPNT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C1ORF9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ICMT,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S100A3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
CROCC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SYT2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RPS6KC1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
RBM8A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF678,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
ZMYM4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ELF3,0.182,,,,,,,
ITGB1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ITGB1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YME1L1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A1CF,0.276,0.039,,0.144,-0.133,0.148,0.157,-0.308
GPAM,0.829,0.176,0.113,,-0.127,0.36,0.16,0.106
SLC16A12,,,,,,0.255,,0.429
FAM178A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FBXW4,0.255,0.18,,0.154,0.071,0.045,0.045,-0.049
C1ORF106,0.432,-0.421,,,,,0.048,-0.314
DDIT4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MGMT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM13C,0.056,,-0.488,,0.368,0.368,0.033,-0.381
PIP4K2A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM45A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ECHS1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DNAJC9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GHITM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DUX4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OSBPL1A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MYPN,-0.401,0.458,,-0.524,,0.458,,0.457
PIK3AP1,,,,1.923,2.237,,2.061,
DDX50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ALOX5,1.067,0.842,0.863,0.831,0.346,0.403,,1.149
DUSP13,,-0.326,-0.604,0.194,-0.629,-0.48,0.274,0.194
PAPSS2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM53B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NEBL,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ANKRD2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPT1A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDK2AP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C22ORF26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CORO1B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SCT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
PSMC3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GYLTL1B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENDOD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NDUFS5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C11ORF2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDCA5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SF3A1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RELA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PELI3,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
SLC29A2,-0.265,-0.124,-0.371,,0.291,-0.306,-0.004,-0.227
STT3A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KIRREL3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YAP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IL18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZBTB16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TREH,-0.208,,-0.314,0.329,,,,-0.477
CHRM4,,0.038,,-0.092,-0.227,,,0.262
TECTA,1.173,,,-0.003,0.139,-0.172,-0.019,0.112
SPA17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ROBO4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EIF4G2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMX2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATP9B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MS4A5,0.124,0.448,0.041,0.147,,0.356,0.245,
BEST1,,,-0.184,,-0.417,-0.032,0.007,0.015
ATP9B,0.991,-0.364,0.188,0.153,,0.882,0.149,0.737
